o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
5186,470,Mh,801.3,1973-01-01,Jz,"tHbslU ",5,HL
5187,544,EP,469.22,1957-07-02,VQ,TwWk,1,Ko
5188,499,NJ,58.75,1975-06-11,Rc,LEcpU,2,Cj
5189,695," M",535.4,1945-10-06,Jo,JwdGl,2,Hj
5190,345,ls,328.76,1988-11-22,Ck,fIfjbzpvy,3,nA
5191,326,gs,715.55,1978-07-31,eV,eXyFKXmlw,4,RQ
5192,45,ll,609.06,1917-02-19,yw,tp,3,ue
5193,465,Kx,520.45,1911-06-23,ao,qjkS,4,Eh
5194,946,zB,573.21,1999-11-05,hp," A",5,"C "
5195,726,jt,934.56,1975-10-27,kq,mhY,4,td
5196,886,AY,181.06,1954-07-17,ps,uTVoiUXTup,4,PP
5197,86,SE,485.53,1997-08-26,PV,uiVl,5,Ys
5198,4,Gb,821.58,1999-10-11,iq,CwmT,4," i"
5199,45,tu,369.89,1941-12-01,pf,XRjfruL,1,ps
5200,493,JY,981.61,1920-03-20,DH,eKQLV,3,YB
5201,849,XJ,896.99,1952-12-10,hM,nEtjAxAV,2,Cm
5202,381,"Y ",305.55,2014-05-24,rH," XZzaNz",2,fb
5203,846,Lt,264.56,2017-02-19,oU,IwyP,3,LI
5204,98,PC,958.85,2019-09-11,"l ",uYsSitm,3,oY
5205,723,vM,929.7,1968-04-04," q",DipVL,1,mh
5206,608,ih,198.63,1969-05-04,CM,Lny,3,jR
5207,358,An,242.91,1940-10-06,UY,BxngdCrMV,4,YE
5208,109,XC,891.15,1962-08-01,XQ,MsexTQ BhG,5,pF
5209,482,AD,843.11,2016-01-24,Uj,Obxh,2,HO
5210,612,dt,695.29,1991-08-16,rL,RKp,2,gt
5211,80,mO,76.73,1972-09-17,Yu,LsCA,4,dT
5212,13,yJ,66.03,1906-09-21,bv,ISmZBVej,3,zd
5213,561,eW,481.34,2003-10-03,Id,tdUosWVg,5,CF
5214,7,ig,333.97,2004-08-29,vJ,OtmldtQ,5,Or
5215,559,nN,980.89,1985-12-01,LY,jKfZ,3,nO
5216,355,FR,901.5,1999-11-17,Rr,PclGlU,2,"C "
5217,473,df,516.34,1978-06-24,at,FYzkD,3,vo
5218,130,GB,35.42,1989-10-07,ho,uAnx,2,Rk
5219,959,uo,336.79,1974-10-10,SU,QGnJC,3,is
5220,986,zx,773.32,1929-06-23,WY,gOuYD,1,wT
5221,188,Aj,656.79,1973-08-05,Qd,GVxRMRPO,4,DQ
5222,714,vi,157.21,2002-12-12,Eg,pbhiQ,4,Go
5223,409,mo,85.79,1974-09-10,Il,IZADAXUoE,4,SV
5224,608,Wu,658.37,1937-06-30,vX,XQq,1,pU
5225,730,kc,81.21,2015-10-02,lq,raQfnyO,3,UB
5226,565,hF,525.42,1958-04-03,lG,Irp DBm,1,qr
5227,525,Mn,707.11,1903-10-22,uy,dbCBZamhd,5,cY
5228,959,lh,631.6,1932-01-04,Pa,TD,4," i"
5229,925,XG,300.43,1948-06-05,Np,PAxhFxNn,1,GJ
5230,660,Uy,762.31,2010-06-20,xA,xYcShwJdPZ,5,fU
5231,99,Uo,597.35,1915-10-03,as,eQz,2," k"
5232,584,oP,409.67,1928-07-22,dc,rwwTqCxO,2,Hc
5233,339,zm,971.3,1983-04-10,cj,IcD,5,vQ
5234,127,wM,208.64,1982-04-24,fJ,ThwST KOY,4,SI
5235,393," M",395.45,2000-08-28,pP,fiYCTUGah,5,YL
5236,263,CP,559.39,2011-03-21,Ka,IMHu,3,KA
5237,230,bL,893.82,1923-02-02,yi,XgpnbHwP,1,mU
5238,185,oe,472.47,1931-04-03," Z",is,1,Dj
5239,806,CX,876.17,1947-03-07,zH,PhQq DmgK,3,fN
5240,523,kV,910.35,1961-10-24,cL,xmRz cuD,3,Sj
5241,260,ra,715.44,1943-08-29,qZ,gwipgCb,3,MM
5242,299,qR,193.66,1987-09-28,Vk,CzOMUj,2,"j "
5243,162,WZ,534.4,1949-02-10,RN,HvRF,3,vF
5244,429,zB,679.81,1902-04-29,jD,atl,3,Cw
5245,635,bS,880.8,1960-07-08,Pe,LmoWXKzp,5,Od
5246,569,Hd,776.39,1905-09-10,BX,EQiKtuxX,3,aj
5247,222,gj,997.17,1951-07-30,PT,PVCiQzzNna,4,ce
5248,323,pr,457.18,1945-10-10,lP,YSFUS,1,TO
5249,970,MZ,376.9,2011-05-22,iE,dgyf,5,Do
5250,478,Op,665.84,2002-05-21,UC,ezLtrvgR,4,BJ
5251,665,"c ",192.39,1989-09-30,Nj,Kg,4,ys
5252,263,kL,417.54,2004-06-22,oO,wwadA,1,YC
5253,48,ZR,801.78,1987-07-29,LF,zpntAUAfy,2,AA
5254,459,xb,9.72,1972-08-15,Xo,ApB,3,FZ
5255,538,qO,406.77,1908-06-22,PP,kALJxDUWBy,1,Md
5256,236,vQ,727.26,1978-07-31,uv,fcZNX PA,2,zR
5257,83,Zd,769.28,1972-03-09,ls,thHn RF,4,NR
5258,421,eJ,285.9,1947-11-26,an,eYPBIpWI,5,fv
5259,261,ec,739.58,1921-04-26,qH,RIK,1,Oz
5260,114,Ha,394.41,2006-01-12,AY,Zpnpulxgyw,4,TP
5261,667,St,725.04,1978-03-04,BD,l bjOihXE,3,Mw
5262,925,GM,18.88,1948-02-11,Qw,MsyQf RgML,3,RU
5263,736,LC,623.13,1992-12-08," i",H zCu,3,cK
5264,6,Xn,710.53,1934-09-15,jy,NNjSy,1,uA
5265,420,og,191.62,1984-01-31,cJ,IW,1,lL
5266,704,Cx,970.38,1903-03-18,oJ,iUAwbuy,5,jE
5267,686,Oh,176.47,1911-12-30,hd,GYa,1,Ej
5268,631,Lo,216.36,1984-03-09,yg,cMj,4,HH
5269,1,rH,844.7,1967-12-24,sZ,UHfb,1,me
5270,156,ra,417.44,1950-01-10,Jd,DrKpZRjXvl,4,QU
5271,254,GI,547.63,1934-02-18,uP,JXSnxPm,5,Ri
5272,981,aD,79.76,1976-02-13,Tl,HggU,2,Cz
5273,54,Kp,106.78,1923-05-20,Xl,"Bt ",4,aO
5274,146,kW,296.56,2001-03-01,dm,eeh,2,LA
5275,646,xH,633.74,1921-02-24,zD,DUddjElq,3,Df
5276,232,lR,468.77,1995-07-17,Qg,pRRa,3,kV
5277,762,nE,997.95,1917-03-31,Id,JaJohFs,1,ku
5278,310,fn,395.51,1918-06-10,kK,BjKRYsQ,3,se
5279,903,Qy,155.21,1946-04-27,ic,fIcb,3,mH
5280,130,aN,453.69,1959-04-03,gD,oF,3,qs
5281,603,Ol,474.43,1997-03-27,nd,"FDz ",3,on
5282,208,UP,480.56,1962-01-08,mt,M DoQ,1,KY
5283,956,nh,991.72,2018-04-20,qe,xm,3,gU
5284,198,Ud,446.32,1901-07-03,DM,KPLg,1,ak
5285,903,dF,811.31,2015-01-07,nR,BXLrKV Cu,5,Ib
5286,39,yw,83.62,1908-07-20,Ax,dqNlFbNWX,1,hr
5287,473,Su,610.73,2001-11-11,Oh,BtyVw,3,MQ
5288,260,Kg,952.22,1938-06-02,aO,bCiGWlSS,4,iX
5289,120,gp,924.34,1991-12-13,aM,bNeH,3,yY
5290,650,Hj,603.42,1927-09-21,kh,eJTd,4,wR
5291,900,Yu,729.87,1934-12-26,Oj,lWcHXNsbvE,4,Bl
5292,37,FK,802.53,2008-03-17,lW,nf,5,DM
5293,293,zt,675.71,2004-01-29,eW,pdF,5,tQ
5294,330,aG,729.44,1946-01-05,dr,uAf,2,KG
5295,355,eM,272.17,1998-12-31,VW,ZygoFwy,2,qv
5296,190,Ef,607.6,1937-08-08,mF,Xu,4,wY
5297,202,lE,419.41,2001-08-14,iV,PB,5,SG
5298,355,Ql,990.34,1964-07-20,Lk,fXPJW,4,vv
5299,583,yA,596.25,1942-01-17,Dj,pcLMjSDBT,5,rY
5300,816,Yj,783.07,1967-08-18,uU,jvIJGbL,4,YD
5301,316,nR,224.26,1931-07-30,Qh,"R ",3,iF
5302,846,lH,622.63,1921-08-01,VN,ZwAyq,2,Mj
5303,971,IZ,619.81,1942-05-26,AL,qHjn,3," h"
5304,180,OD,405.3,1909-01-13,yJ,iEqC,4,FM
5305,881,wP,194.53,1959-06-09,uM,LemGh,3,TD
5306,489,FC,94.58,1906-05-17,gT,zcFqEmNdk,5,dM
5307,628," L",839.51,1985-02-13,ja,ij,1,qV
5308,308,cH,714.71,2018-09-26,Yp,lgifksl,3,op
5309,89,oP,679.75,2013-02-13,EY,GvVRwzxX,4,dA
5310,680,Re,790.11,2004-03-24,qJ,XJMGmnDE,1,mR
5311,564,lf,854.9,1939-04-13,RJ,UJdTrI,1,UL
5312,362,Cd,50.12,1989-05-06,BK,iHJkAuHCe,5,kj
5313,819,ah,403.43,2004-05-20,qJ,rwgrpy,3,bg
5314,412,km,427.97,1970-12-20,hR,QlnoCXGdr,2,AN
5315,652,cu,343.62,1959-07-31,JP,RVAh ETkp,1,Vo
5316,971,Jv,548.22,1988-09-02,Qn,FaTMoWqBkv,1,mI
5317,79,Sa,331.48,1937-10-23,zP,qWrbFZdi,1,Cz
5318,362,Yt,201.06,1985-08-24,qw,vNriCauC,5,Li
5319,965,eH,690.19,1986-04-07,Zq,mYlQh,1,Lw
5320,286,uZ,473.19,1943-11-15,VE,JaXcwGP,3,TL
5321,186," s",216.14,2011-07-20,WR,fkZi,3,Fv
5322,615,VU,851.21,1911-01-23,JB,UvZuo,2,ch
5323,485,xT,876.98,1919-02-20,bl,XvQpXhKjbJ,3,se
5324,608,vp,776.39,1925-01-29,ea,GFNXdAy,3,Ky
5325,85,KU,785.49,1972-03-08,Hw,MLZbknvUf,3,Lr
5326,327,WS,24.21,1960-01-11,VC,qKqyjVoD,3,Bw
5327,542,PK,907.13,1955-02-24,hU,eMLubySNXP,1,Mx
5328,750,vH,697.24,2004-05-12,nI,Siwy,5,eK
5329,533,Zq,623.83,1905-04-12,xQ,dwI,5,lm
5330,208,vK,340.64,1998-12-22,jt," QttqJX",3,Wb
5331,158,NH,361.78,1952-11-07,Gt,ViKtQVCnWd,4,wb
5332,872,It,792.95,1922-03-06,QO,NaNxucD,3,oD
5333,861,pK,833.5,1953-03-05,qE,RvWLfwMSao,3,oO
5334,38,Pg,358.82,1953-05-29,Jz,qQPPL,1,ta
5335,549,xm,260.79,1938-09-06,fg,tYr GWQwB,3,Vw
5336,701,Qg,186.62,1910-08-29,xJ,snqM,1,kF
5337,796,fp,193.71,1936-08-11,gb,eNSWEQadpI,4,pN
5338,318,oN,986.21,1934-11-09,Vw,fPJAx,1,It
5339,322,Az,297.48,1960-08-27,zS,cMwv,4,iR
5340,472,wj,35.11,1932-10-23,gJ,XcUHJ,2,IX
5341,128,Hv,461.66,1944-06-15,Pn,Wz,4,uD
5342,580,qJ,478.6,1970-09-03,wM,koSDYXIO,4,Ai
5343,440,JV,513.68,1939-10-01,xx,ctnBO,5,hb
5344,258,rU,254.45,1933-12-25,yw,OUe,5,mm
5345,787,AC,668.3,1920-03-13,ug,WqRc,5,ej
5346,43,Ax,882.51,2001-04-21,BD,LKiHvX,1,gp
5347,257,"W ",575.83,1938-09-10,sy,XPctuy,4,hm
5348,347,oC,662.44,1912-03-24,PV,oar,4,FY
5349,241,wz,170.62,1919-06-01,ks,kXekI,4,So
5350,101,pi,620.16,1900-07-06,up,sZZJwC,3,Uv
5351,173,My,706.25,1989-09-18,rx,wuQ,3,UN
5352,682,DN,547.33,1918-12-16,rD,GKj,5,CB
5353,265,Hu,115.23,1987-03-01,ln,dRzEw,1,Zb
5354,73,oO,529.55,1965-10-19,hb,RpN,4,gK
5355,889,YB,392.72,2015-01-03,WR,DUxAG,1,Dm
5356,398,BE,562.84,1993-04-27,Bv,nqnrAOX,3,GN
5357,252,gI,857.22,1979-06-17,NQ,ch,3,Rr
5358,138,Kj,969.8,2008-02-20,BO,SoV,3,Es
5359,450,Aa,428.74,1933-03-14,ZQ,ekwYp,3,Pe
5360,195,cZ,752.61,1989-05-02,wb,LhiECNLS,5," a"
5361,21,TP,321.01,1961-02-08,oj,dibLEy,4,SU
5362,581,rI,74.2,1937-01-31,Us,BvKkDph,3,MW
5363,640,yo,845.54,1990-09-13,Cb,nWaBe,4,"k "
5364,97,iK,136.94,1984-02-21,Qy,sDpk,4,eL
5365,318,JP,61.02,1929-11-02," r",pEcr KXdc,5,Tm
5366,669,bp,570.41,1982-04-11,Jr,snTjKVvnJO,5,Zu
5367,445,Fr,144.96,1942-01-03,eQ,dSVxjQV,4,Dd
5368,465,VK,225.13,1973-11-24,jA,iSQiB,5,Pq
5369,221,gh,941.93,1977-06-22,oK,Chpc niws,5,Wi
5370,509,Tw,696.66,1968-05-31,Cp,Xe,1,kZ
5371,171,IM,991.95,1925-08-06,"c ",gIHejULo,2,kJ
5372,459,KG,834.83,1977-08-30,RZ,Wh,1,fO
5373,385,XR,937.67,2010-12-28,ct,pf,1,bp
5374,351,ZV,10.27,1979-09-22,RQ,WzGX,1,Kx
5375,79,gW,868.14,1908-04-03,Dk,kyrSxrx,4,LG
5376,16,vM,75.61,2001-09-17,nX,En,4,qm
5377,100,Ds,239.24,2004-10-12,KA,Hm,3,IT
5378,965,dz,26.8,1996-12-05,fL,FecmzIB,4,uZ
5379,531,Yg,449.56,1976-05-07,PX,oYrgPjqVr,4,mD
5380,46,Hd,831.57,1945-12-11,Qs,wVysmHZ g,2,Aq
5381,799,qm,916.83,1902-08-07,ir,LtXYFJPi y,4,HS
5382,729,kO,918.71,1937-06-02,eO,cTDbD,3,IQ
5383,488,vN,718.35,2018-10-01,QF,tUxZ,4,qM
5384,214,GA,255.15,1973-10-03,Fr,UNNDX,4,dl
5385,528,fR,89.09,1945-09-14,JW,Xf,5,WV
5386,638,tH,59.28,1953-11-16,jp,Djw ULv,3,cd
5387,989,Ol,835.74,1907-09-06,nK,dNCEL,2,nZ
5388,928,dk,799.51,1917-08-05,vI,gi,3,qz
5389,289,xg,109.28,1911-01-08,Md,XcmU,4,ft
5390,404,ZN,628.83,1919-11-05,dS,hSXKU,5,gX
5391,234,QQ,457.23,1945-01-24,cc,bnigT,3,Ch
5392,688,uF,175.39,1965-07-21,wV,DDHuIds,3,dB
5393,402,Dz,366.01,1922-01-09,En,WjoWna,4,bQ
5394,216,An,893.66,2011-08-05,WC,"liXFR ",3,Om
5395,97,rl,298,1942-11-25,TZ,ojdOPMRYh,4,iX
5396,372,uT,852.3,1945-05-15,MG,ntqY,5,uT
5397,447,iQ,535.03,1939-08-28,eW,kkfxGaRsei,4,FX
5398,362,xc,821.31,2007-09-11,Ds,Dmsnfc,2,ro
5399,492,Kd,878.51,1979-10-16,qA,AoGgAPv,5,BZ
5400,154,uy,507.45,1921-01-18,Jo,id,2,om
5401,264,km,354.86,1917-09-24,jw,sHyy,2,"z "
5402,163,Hz,688.83,1967-01-16,jU,OMTS,2,iK
5403,609,yS,939.29,1966-08-04,bA,AG,4,wz
5404,51,qQ,748.34,1923-07-12,HX,dVXU,4,hn
5405,480,HK,821.65,1941-11-03,hT," nFF",4,JG
5406,142,rJ,564.22,1900-02-07,"a ",SqreCWI,4,qa
5407,662,El,575.82,1935-05-29,sC,j DYNdAmaA,1,Wc
5408,127,kh,577.4,1906-06-28,eB,aSMNPyJIKc,2,Rs
5409,345,SQ,985.04,1920-03-17,oT,sI,2,CM
5410,493,sm,332.34,1950-09-11,uz,jGfTu,2,XM
5411,569,zX,164.42,1979-09-26,MY,rZkm,2,hj
5412,311,Ha,322.62,2010-09-09,PW," pLE FR",1,dn
5413,592,rR,524.93,1976-08-11,wg,SzlLv Bdx,4,Ze
5414,878,Cf,98.68,2007-02-08,QI,tqrucMUlAG,4,To
5415,944,CZ,876.99,1950-03-25,jk,fAmSpiMfYD,2,Wz
5416,667,qW,520.65,1985-11-13,tC,bd,1,Vl
5417,347,Ue,894.94,1967-03-21,qJ,akw,4,pE
5418,536,RL,430.82,1939-07-19,BD,M m,5,hb
5419,322,UL,459.31,2009-01-29,Mj,MN,2,"U "
5420,108,pc,315.6,1983-03-11,rb,GCrA,4,Ko
5421,236,Yn,802.68,1966-02-11,tX,xwmYu,4,TO
5422,551,zu,503.39,1975-05-13,vN,ReViac,5,wd
5423,486,Dn,980.34,1940-11-03,RL," uNWXhp",2," e"
5424,845,Ne,661.59,1910-04-22,CT,NchMo,4,yg
5425,313,IJ,703.13,2000-03-14," q",jC,4,nA
5426,946,GG,410.29,1986-12-13,"x ",vWUhW,5,zr
5427,273,bE,553.36,1975-10-18,pp,tmBXenTc,2," t"
5428,923,Yl,944.23,1933-01-20,IG,VrrZ,4,sz
5429,794,tA,855.28,1913-11-09,uX,ArvAcFfCYE,5,JU
5430,355,xW,922.24,2002-01-17,nF,gIzy,1,Kr
5431,276,sR,808.74,1957-02-12,ud,vobjBqqvT,2,Ss
5432,822,Er,393.72,1976-06-13,Pp,tudfD,4,MS
5433,589,lN,157.07,1922-10-06,tv,OiDlDVknus,2,VA
5434,574,tk,958.29,1972-08-07,qy,tNQ MuZ,3,aP
5435,27,Pv,160.21,1993-10-06,kT,my,2,ZT
5436,1,dZ,524.36,1908-01-05,Lc,dvuYaQYWA,4,cr
5437,944,ON,699.27,1916-07-23,AG,Kr J,4,Nc
5438,286,xJ,913,1948-06-18,Zj,lBRxAiYzJ,3,Tm
5439,580,oh,447.47,1957-12-16,mc,BbxFCblXaF,3,Fk
5440,47,QT,450.66,1989-08-26,Vo,wfJStL,3,"r "
5441,884,yh,757.19,2013-04-02,bJ,XG,4,UT
5442,610,Vw,793.31,2011-02-10,BF,d ES,5,US
5443,635,WU,918.94,1955-12-18,Fa,Rl,2,VW
5444,829,Sp,678.14,2017-08-19,CZ,BtF,1,zt
5445,7,QW,629.69,1964-01-06,NI,HF,2,rC
5446,853,Gx,694.36,2003-12-22,kj,YXAnJ,3,GU
5447,601,PY,382.05,1969-09-19,Ex,zvJ,3,Gp
5448,285,zf,453.8,1934-06-12,ZI,nRWLDM,1,Rs
5449,380,OE,765.52,2011-03-24,kc,qsmZHs,5,By
5450,812,PM,349,2001-05-04,CB,zVa,1,uR
5451,949,"W ",976.69,1974-08-20,ml,lLOIsSZ,5,sq
5452,925,ZQ,279.4,2019-03-20,rs,mVfKfB,1,rV
5453,88,Ez,903.68,1904-01-09,MS,r IOjPj,2,mP
5454,423,RS,147.98,1931-12-30,TF,JZTsV,1,oa
5455,470,am,1.91,1908-03-09,vM,XGKbzbMAf,1,XW
5456,912,Ba,287.35,2014-08-28,eh,pvp,1,bh
5457,541,dp,508.64,1955-01-09,CF,QipmuE,3,rq
5458,239,qc,489.78,1930-03-28,Am,Puk,3,Nj
5459,985,on,461.62,1905-08-13,zi,KAETeHjJ,1,FM
5460,699,Cj,613.66,1910-05-22,al,Jb,2,ZH
5461,664,UH,797.75,1966-05-05,Pc,RlEW,1,Ad
5462,350,OX,215.73,2007-08-12,lS,SeG,4,jk
5463,457,Dd,248.62,1985-05-18,II,Dm,1,PK
5464,614,Kx,341.15,1920-09-20,mV,tiFq,5,IS
5465,320,Za,698,1917-10-07,pI,OVgRR,1,dx
5466,571," e",890.2,1923-01-26,EG,"pvBt ",4,lK
5467,809,gf,856.44,2017-02-06," P",jNqJL,2,Ww
5468,352,Tn,868.35,1995-04-28,ue,AlCBKGDn,5,bp
5469,274,su,558.46,1998-01-02,On,"AEjXAF ",5,jJ
5470,719,HI,649.62,1993-02-04,Cq,XLk,3,HH
5471,916,mF,900.86,1922-11-22,NQ," Zxzv",3,tI
5472,982,BQ,705.42,1977-11-29,IC,vqWKc,1,vb
5473,640,iS,228.28,1948-06-09,Nc,ZlBc,3,mR
5474,813,nV,427.13,1951-11-27,lU,jKvKbrIp,3,Yp
5475,218,vL,89.65,1992-03-18,Ne,gm,1,EC
5476,733,MD,736.02,1911-05-27,Wz,WccYuY,1,JS
5477,805,tM,865.8,1953-02-02,iI,tKvLQB,3,vW
5478,145,LV,340.87,1900-02-13,qx,WcBuZ,1,FH
5479,749,Wq,72.47,1940-11-21,Ed,OU AXrFHH,5,BT
5480,275,ov,592.1,1965-08-10,Tr,RtCjuNzyY,5,kZ
5481,680,xa,200.38,1984-11-03,Ih," BOC",4,kP
5482,493,Ra,62.55,1915-01-10,vH,tZK,4,nC
5483,104,wc,747.81,1912-12-26,yn,IDXXgPn,1,cH
5484,315," J",460.04,1960-11-08,eA,KhQKUFF,1,CI
5485,119,wc,980.48,1992-01-17,lq,TWmjJs,3,SM
5486,177,oK,810.11,1940-02-26,Ho,nPzKxbG,2,tI
5487,782,Hb,218.49,1951-10-08," U",ZdgnArOv,2,QW
5488,290,mb,196.08,1984-12-16,Dh,bYInFslMX,4,Fq
5489,409,dw,345.39,1973-05-26,jU,pEaztm,4,Xg
5490,823,iP,107.62,2001-08-24,PV,GldRgoXsG,1,Jl
5491,283,wm,654.04,1900-03-25,FD,FlYlHBZuY,5,cD
5492,849,pb,587.18,1945-12-02,CQ,NYZlYpstQ,3,EF
5493,150,TF,132.47,1917-09-14," n"," UTNs",3,bl
5494,818,rM,790.37,1917-01-10,nc,oJdYw iu,2,sz
5495,979,Aj,836.24,1993-03-30,rd,YA,1,AH
5496,169,ZV,8.52,1982-09-17,wp,gDc,2,av
5497,145,lg,992.35,1950-08-24,Fq,EIMYHT,4,VL
5498,382,ZK,44.92,2019-08-08,Yl,xpmqeKAqS,3,"X "
5499,514,vp,931.61,1978-12-07,Mb,fOHSv,3,fp
5500,932,ie,678.23,1919-12-24,me,ISWTaqiv,1,ik
5501,682,PS,365.75,1969-07-13,ln,vGmyFN,4,aN
5502,576,Ry,705.98,1977-02-11,AY,TEokLnkgT,3,Pi
5503,130,Ey,275.57,1969-05-01,pA,hJynz,2,sw
5504,48,ja,829.67,1921-10-22,vB,"t ",5,mP
5505,408,yF,522.03,1907-01-16,qR,oBb,4,wC
5506,216,ap,37.71,2013-10-27,po,zwDMSNGRBy,4,PO
5507,892,RF,47.61,2008-07-16,vu,ytN,1,"C "
5508,296,Zm,345,1972-11-04,Pf,HvB,5,yp
5509,594,lS,532.13,2016-11-08,nS,EXuTNzGB,3,ju
5510,875,DK,454.02,2004-11-09,da,xJXxNpy,1,XZ
5511,224,am,231.01,1918-07-25,cg,VNi N cm,1,qK
5512,381,Lj,490.15,1991-12-08,bh,TDzWp,1,iV
5513,156,vg,19.8,1958-01-05,pA,TnA,4,Uv
5514,522,ld,657.51,1999-03-21,yI,ajsFs,5,Le
5515,632,jF,741.67,1980-04-23,gj,JLqRmvWt,1,Vl
5516,38,tF,36.32,1974-02-01,gn,znm,5,Lk
5517,835,EW,904.4,1928-05-04,LA,EyPXSDWH,5,Bt
5518,710,dP,682.43,1982-02-06,uY,NuQcFjChY,5,Ko
5519,28,FM,133.48,1955-07-09,gV,Mecp,4,So
5520,679,AC,869.63,1916-03-03,dZ,DhnILK,1,Ng
5521,189,KH,27.03,1902-07-10,RM,FLTUdEMMN,4,Bq
5522,883,SC,826.18,1981-05-02,rX,GNr,2,RF
5523,771,sS,337.84,1964-11-30,yw,VH SWmJ,1,"t "
5524,713,fM,333.97,1927-07-12,lZ,gPkrPjofdv,1,bk
5525,642,VZ,880.94,1925-08-14,YE,xnVeMU,5,AM
5526,636,lN,803.48,2013-05-24,gl,"l ",3," r"
5527,385,su,33.28,1979-01-24,Hc,DN,4,Ay
5528,261,wN,561.5,1969-10-24,vy,BQcyZNuz,4,xN
5529,906,Xn,592.34,1965-11-17,sP,ME,4,OC
5530,588,RF,497.03,1925-08-23,jJ,mxo,3,IO
5531,714,tc,12.31,1926-06-11,or,JjcBXvWd,2,ue
5532,480,IS,243.89,1944-01-05,ZE,brsRYarge,5,Sk
5533,550,Id,69.26,1929-03-16,qA,jXFFRig,5,eE
5534,534,ze,481.32,2000-09-12,jY,zPQCe,4,nF
5535,145,gl,760.67,1917-09-18,Xr,WQxBUk,1,TK
5536,615,Qj,520.01,2018-04-03,ch,QAGmVmHdvd,3,YV
5537,870,rJ,355.69,1983-06-05,uN,MCm,4,TQ
5538,433,hV,826.35,1931-05-13,lM,Ez,3,QC
5539,694,Oc,747.08,1942-03-24,ho,VrQuSoENon,5,PT
5540,259,UK,409.24,1987-02-09,Iv,UktaPHKxfT,5,Iq
5541,356,zn,538.06,1949-04-05,RP,GSvpp,4,Qz
5542,479,AJ,981.98,2013-07-08,VZ,gxYnSoWSGQ,3,cp
5543,495,bW,806.2,1955-09-25,tM,oCYpjH,4,ph
5544,438,Op,413.27,1910-03-25,KJ,MVqtrqY,3,ij
5545,54,qV,460.17,2019-06-23,uA,zEBJxXIF,3,Is
5546,770,VV,8.94,1910-05-02,wo,ZsnTb,3,Ae
5547,816,xX,239,1945-12-31,hN,tjRBjuChAi,2,pV
5548,608,Qb,307.86,1964-05-07,kt,we,3,YD
5549,239,dB,603.98,1982-12-04,wQ,SILc,2,HB
5550,692," J",830.32,2019-10-03,fW,mMJm,4,yE
5551,811,ZL,796.19,1939-04-13,bo,"lEDXzci ",5,AU
5552,208,JD,827.44,1929-10-22,Yg,pc,3,KP
5553,25,Um,219.12,1975-12-31,WJ,ne,3,TU
5554,482,xr,323.2,1988-10-10,SL,Dh,4,Lx
5555,502,QL,838.36,1919-07-20,Mr,KZGwFN,1,CS
5556,634,fk,165.95,1986-01-05,Rm,TSrAF,5,Mq
5557,572,WK,525.26,1960-11-16,hf,ipWeTQxvI,2,cL
5558,571,MC,567.62,1999-10-28,Vx,LgijmHfQ,5,UE
5559,722,ug,739.32,1919-06-03,vL,mpFBTpt,3,XP
5560,657,yc,491.23,1917-02-04,Rj,BhvwcOqTYJ,2,"U "
5561,390,zp,695.68,1982-09-10,AZ,ZLqr,3,br
5562,950,AE,33.68,2018-09-03,gZ,bRqbJE,1,Pk
5563,904,SX,844.36,1948-10-02,io,sHauAAWpv,1,LT
5564,92,Ic,37.49,2017-04-03,QX,XL,1,Sj
5565,499,Uz,312.24,1966-02-17,VG,cuUXLAsRqZ,4,BA
5566,167,jF,475.47,1934-11-17,qI,far,1,BM
5567,196,XI,129.41,1969-07-12,Lz,CWfpl,4,tS
5568,648,rk,650.38,1931-01-10,dG,lbzRbfW,1,kL
5569,9,nr,290.49,1918-09-15,UT,YDjUZAokuF,3,bJ
5570,714,ap,202.68,1941-05-01,qy,RllcV,3,pw
5571,234,QJ,234.45,1997-02-13,KA,EUfcHpbwHZ,1,ys
5572,450,Wx,96.22,2003-09-28,EF,tgasLWoKMx,3,pr
5573,256,ML,84.26,1952-04-13,ZI,oI,1,vZ
5574,466,iO,919.39,1914-06-13,AW,gCyfZG,2,TA
5575,309,BH,891,1981-12-04,yP,itosZ,4,QB
5576,434,IO,802.87,1922-10-21,YO,YrcOa,3,Yz
5577,532,WN,201.34,1935-10-27,xV,HeTGn,1,Sp
5578,765,HH,739.33,1958-07-22,OR,arFS,5,bi
5579,103,Oy,97.03,1933-11-22,Af,OedEilCXi,5,Ts
5580,226,Cr,734.4,1980-01-15,tu,HhyREc,3,kC
5581,641,mV,781.71,2003-12-09,DH,cLFGif,1,Jz
5582,953,kQ,793.84,1962-10-03,dA,OsU,1,nJ
5583,882,Rl,888.3,1996-07-30,Wu,zBGY,3,Ff
5584,920,zb,651.41,2006-07-15,kq,aU,3,On
5585,405,bF,613.67,1977-12-25,Fw,RbfjzCUCEx,5,Yg
5586,260,lL,302.01,1937-02-16,Ah,aSuyweMI,4,mc
5587,106,lW,771.53,1907-06-12,hS,LCacq,1,Dy
5588,962,lo,921.22,1926-01-01,cK,HPux,2,mW
5589,61,lI,340.17,1902-08-22,TV,JJFPxg,3,OX
5590,805,jB,362.21,1912-03-30,LZ,STZSu KP,3,Vp
5591,458,HK,36.4,1936-04-26,Tp,vZcv,2,cN
